ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0449202623,Banker,"When young investment banker Tim Ekaterin becomes involved in the cutthroat world of thoroughbred racing, he finds his life in business blown to smithereens. For suddenly the multimillion dollar loan he arranges to finance the purchase of a champion racehorse is threatened by an apparent defect in the animal. Then, as Tim desperately searches for answers, he falls headlong into a deadly deal of violence and murder. . . .",Dick Francis,1984,Fawcett,303.0,Detective and mystery stories
0380018179,The Thorn Birds,"Now, 25 years after it first took the world by storm, Colleen McCullough's sweeping family saga of dreams, titanic struggles, dark passions, and forbidden love in the Australian Outback returns to enthrall a new generation. As powerful, moving, and unforgettable as when it originally appeared, it remains a monumental literary achievement—a landmark novel to be read . . . and read again!",Colleen McCullough,1978-05-01,Harper Collins,708.0,Fiction
0380800802,A Streetcar Named Expire,"For Sale: Luxury Condos, Corpse Included Just a stone's throw from Judith McMonigle Flynn's thriving Hillside Manor, workmen are busy renovating the elegantly decrepit Alhambra Arms into pricey condominiums. But concerned contractor George Guthrie fears that well-heeled potential buyers may blanch when they learn about the four-decades-dead body that was stashed behind the crumbling walls of the moldy manse. And ever-inquisitive Judith's discovery of some much more recent remains on the premises threatens to se property values through the floorboards--and Guthrie through the roof! Both her professional detective husband Joe and her partner-in-crime solving cousin Renie think Judith is bonkers to suspect that the two killings are connected. Nevertheless, Judith's ready to build a strong case to that effect -- unless some homicidal someone decides to deconstruct her first!",Mary Daheim,2001-01-09,Avon,320.0,Fiction
0440225329,The Debt Collector,"Cincinnati police detective Sonora Blair finds herself walking a difficult and dangerous line of dark secrets, shocking surprises, and unpaid debts, as she and her partner, Sam, investigate the savage mass murder of a typical American family. By the author of No Good Deed. Reprint.",Lynn Hightower,2001-11-01,Random House of Canada,352.0,Fiction
0688158129,The Pact,"Friendship, loyalty, lifelong love -- and teenage suicide. A riveting, timely, and terrifying novel from an acclaimed writer who skillfully intertwines the intimate perceptions of Anne Tyler with the dramatic tension of John Grisham The Golds and the Hartes, neighbors for eighteen years, have always been inseparable. So have their children-and it's no surprise that in high school Chris and Emily's friendship blossoms into something more. But the bonds of family, friendship, and passion-which had seemed so indestructible -- suddenly threaten to unravel in the wake of unexpected tragedy. When midnight calls from the hospital come in, no one is ready for the truth. Emily is dead at seventeen from a gunshot wound to the head. There's a single unspent bullet in the gun that Chris pilfered from his father's cabinet-a bullet that Chris tells police he intended for himself. But a local detective has doubts about the suicide pact that Chris describes. This extraordinary, heart-rending novel asks questions that every parent faces: How much do we know about our children? Our friends? What if . . .? As its chapters unfold, alternating between an idyllic past and an unthinkable present, The Pact paints an indelible portrait of families in anguish . . . and creates an astonishingly suspenseful courtroom drama, as Chris finds himself on trial for murder. It's rare to find a writer who combines Alice Hoffman's gift for evoking everyday life in pellucid prose with a remarkable ability to create a legal page-turner that will keep you up all night reading, but this is such a book. The Pact rings true: wonderfully observed, truly moving, frightening, and utterly impossible to put down.",Jodi Picoult,1998-04-22,William Morrow,302.0,Fiction
342619581X,Sündenherz,"Eines Tages verschwindet der kleine Owen. Seine Mutter war zur Arbeit, der Vater Nick bei der Nachbarin, das Au-pair-Mädchen Marianne bei ihrem Freund. 10 Jahre später macht sich Nick, inzwischen ruhelos durch die Welt gezogen, erneut daran, das Verschwinden seines Sohnes aufzuklären.",Julie Parsons,2004,,428.0,
0449207668,,,,,,,
0440224624,The Loop,"From the author of The Horse Whisperer comes the phenomenal #1 New York Times bestseller, an extraordinary new novel of love, family, and man's struggle with the wild. A pack of wolves makes a sudden savage return to the Rocky Mountain ranching town of Hope, Montana, where a century earlier they were slaughtered by the thousands. Biologist Helen Ross has come to Hope from the East, fleeing a life in shambles, determined to save the wolves from those who seek to destroy them. But an ancient hatred awaits her in Hope, a hatred that will tear a family and ultimately the community apart. And soon Helen is at the center of the storm, by loving the wrong man, by defying the wrong man . . . by daring to lead a town out of the violent darkness of its past. . . . Visit the Nicholas Evans Web site at http://www.nicholasevans.com",Nicholas Evans,1999-09-07,Dell,561.0,Fiction
0451192028,Light a Penny Candle,"Now back in print?the magic of bestselling author Maeve Binchy?s unforgettable debut novel, LIGHT A PENNY CANDLE!The chaotic events of World War II find a shy young English girl in Ireland under the care of the wild and boisterous O?Connor family. It is through them that she meets the young lady destined to become her best friend...and together they will endure years of change, joy, sorrow, soaring dreams, bitter betrayals, and an unbreakable bond that nothing could tear asunder.",Maeve Binchy,1997,Signet Book,596.0,Fiction
0451190157,The Legacy,"When he receives word that his estranged father has died, Cole Egan also discovers that he has inherited a previously unknown videotape of John F. Kennedy's assassination",Stephen Frey,1999-04-28,Onyx Books,373.0,Fiction
