ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0373250207,Fishbowl,Relationships.,Sarah Mlynowski,2002-10-01,Red Dress Ink,0.0,Fiction
0684872153,Angela's Ashes,"Frank McCourt was born in 1930 in Brooklyn, New York, to Irish immigrant parents, grew up in Limerick, Ireland, and returned to America in 1949. For thirty years he taught in New York City high schools. His first book, ""Angela's Ashes,"" won the Pulitzer Prize, the National Book Critics Circle Award and the ""L.A. Times"" Book Award. In 2006, he won the prestigious Ellis Island Family Heritage Award for Exemplary Service in the Field of the Arts and the United Federation of Teachers John Dewey Award for Excellence in Education. He lives with his wife, Ellen, in New York and Connecticut.",Frank McCourt,1996,Touchstone Books,468.0,Biography & Autobiography
0375700757,Cold Mountain,"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death.",Charles Frazier,1998,Vintage,468.0,Fiction
068416325X,The Great Gatsby,"A young man, newly rich, tries to recapture the past and win back his former love, despite the fact that she has married",Francis Scott Fitzgerald,1986,Simon & Schuster,182.0,Fiction
006100717X,A Twist in the Tale,"No one can weave a web of suspense, deliver a jolt of surprise, or teach a lesson in living like bestselling author Jeffrey Archer. From Africa to the Middle East, and from London to Beijing, Archer takes us to places we've never seen and introduces us to people we'll never forget. Meet the philandering husband who thinks he's committed the perfect murder; the self-assured chess champion who plays a beautiful woman for stakes far higher than cash; and the finance minister who needs to crack the secrets of a Swiss bank. Jeffrey Archer's collection of twelve spellbinding stories will sweep you on a journey of thwarted ambition, undying passion, and unswerving honor that you'll never forget.",Jeffrey Archer,1994-01-15,HarperTorch,256.0,Fiction
0439327660,School's in!,"A collection of new stories about some of your favorite characters such as Horrible Harry and the Bailey School Kids, plus excerpts from favorite books about Ramona, Julian, and Tomie.",,2001,,68.0,Detective and mystery stories
0312980159,Fast Women,Nell Dysart takes a job as a secretary for a detective agency that is going nowhere.,Jennifer Crusie,2002-04-15,Macmillan,379.0,Fiction
0151006725,Slammerkin,"The Competitiveness of Financial Institutions and Centers in Europe addresses key questions facing European financial markets today. It relates to the dramatic increase in competition between financial centres and institutions under the influence of several factors -- the effect of innovation in financial products and technological processes, widespread deregulation and associated re-regulation (prudential rules), the implementation of the single market in Europe and the new strategies of institutions and national financial centres facing more competitive conditions. Major subjects include the transfer of fragility from the real economy to the financial sector, and vice versa, through such channels as booming financial activities, intense competition and greater risks, as in property lending, and also the more cautious policies adopted by financial intermediaries in response to losses in the recent recession. The papers were contributed by members of universities, the private financial sector, national and international policy making communities, and presented at the 18th Colloquium of the Société Universitaire Européenne de Recherches Financières, in Dublin, May 1994. They will be of central importance to policy makers, bankers, financial executives and academics.",Emma Donoghue,2001,Houghton Mifflin Harcourt,435.0,Fiction
0385418493,How the Irish Saved Civilization,"NATIONAL BESTSELLER • A book in the best tradition of popular history—the untold story of Ireland's role in maintaining Western culture while the Dark Ages settled on Europe. • The perfect St. Patrick's Day gift! Every year millions of Americans celebrate St. Patrick's Day, but they may not be aware of how great an influence St. Patrick was on the subsequent history of civilization. Not only did he bring Christianity to Ireland, he instilled a sense of literacy and learning that would create the conditions that allowed Ireland to become ""the isle of saints and scholars""—and thus preserve Western culture while Europe was being overrun by barbarians. In this entertaining and compelling narrative, Thomas Cahill tells the story of how Europe evolved from the classical age of Rome to the medieval era. Without Ireland, the transition could not have taken place. Not only did Irish monks and scribes maintain the very record of Western civilization -- copying manuscripts of Greek and Latin writers, both pagan and Christian, while libraries and learning on the continent were forever lost—they brought their uniquely Irish world-view to the task. As Cahill delightfully illustrates, so much of the liveliness we associate with medieval culture has its roots in Ireland. When the seeds of culture were replanted on the European continent, it was from Ireland that they were germinated. In the tradition of Barbara Tuchman's A Distant Mirror, How The Irish Saved Civilization reconstructs an era that few know about but which is central to understanding our past and our cultural heritage. But it conveys its knowledge with a winking wit that aptly captures the sensibility of the unsung Irish who relaunched civilization.",Thomas Cahill,1996-02-01,Anchor,257.0,History
0380764008,Grime and Punishment,"It's So hard to Kill Good Help These Days. . . With three kids to raise on her own, Jane Jeffry sometimes needs a hand with the housework. But many of her complaining neighbors believe that the Happy Helper cleaning lady they all share wouldn't know a dustball if she was choking on it. That hardly seems reason enough, however, to do the disreputable domestic in. So when the charwoman in question is discovered strangled to death with a vacuum cleaner cord, Jane decides to dig up the real dirt--if the tenacious single mom can find any time to spare between her PTA meetings and car-pooling duties. But despite her busy schedule, Jane is determined to tidy up the whole murderous mess--even if it means provoking a killer who may live as close as next door.",Jill Churchill,1992-06-01,Harper Collins,260.0,Fiction
0449219461,"""H"" is for Homicide","2 cassettes / 3 hours Read by Judy Kaye Kinsey Millhone, the irreverent, wise-cracking P.I. with a style reminiscent of Philip Marlowe, is back in a high-stakes adventure. His name was Parnell Perkins and until shortly after midnight, he'd been a claims adjuster for California Fidelity. Then someone had come along and ended his career . . . permanently. To the cops, his death looked like a robber gone sour; to Kinsey Millhone, it looked strangely suspicious. Particularly when Bibianna Diaz's name surfaced in one of Perkins' files. It seems she had pulled an insurance scam, with California Fidelity as her mark. Now, Kinsey was after her. But so, too, was her spurned suitor, Raymond Maldonado. he had a rap sheet as long as his arm and an inability to take no for an answer. Could Kinsey get to Bibianna first and solve the mystery of Perkins' murder? Or would she find that once you crossed Raymond Maldonado, you didn't live to tell the tape?",Sue Grafton,1992,Fawcett,308.0,Fiction
0425158616,Cause of Death,"It is New Year's Eve and Dr. Kay Scarpetta plunges into the murky depths of a ship graveyard to recover he very human remains of Ted Eddings, an investigative reporter.",Patricia Daniels Cornwell,1997,Berkley,370.0,Fiction
