ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0440224837,The Long Road Home,"Bestselling novelist Danielle Steel takes us on a harrowing journey into the heart of America's hidden shame in a novel that explores the power of forgiveness, the dark side of childhood, and one woman's unbreakable spirit. From her secret perch at the top of the stairs, Gabriella Harrison watches the guests arrive at her parents' lavish Manhattan townhouse. At seven, she knows she is an intruder in her parents' party, in her parents' life. But she can't resist the magic. Later, she waits for the click, click, click of her mother's high heels, the angry words, and the pain that will follow. Gabriella already knows to hide her bruises, certain she is to blame for her mother's rage--and her father's failure to protect her. Her world is a confusing blend of terror, betrayal, and pain. Her parents' aristocratic world is no safeguard against the abuse that knows no boundaries, respects no person, no economic lines. Gabriella knows that, try as she might, there is no safe place for her to hide. Even as a child, her only escape is through the stories she writes. Only writing can dull the pain of her lonely world. And when her parents' marriage collapses, Gabriella is given her first reprieve, as her father disappears, and then her mother abandons her to a convent. There, Gabriella's battered body and soul begin to mend. Amid the quiet safety and hushed rituals of the nuns, Gabriella grows into womanhood in a safe, peaceful world. Then a young priest comes into her life. Father Joe Connors never questioned his vocation until Gabriella entered the confessional and shared her soul. Confession leads to friendship. And friendship grows dangerously into love. Like Gabriella, Joe is haunted by the pain of his childhood, consumed by guilt over a family tragedy, for which he blames himself. With Gabriella, Joe takes the first steps toward healing. But their relationship leads to tragedy as Joe must choose between the priesthood and Gabriella, and life in the real world where he fears he does not belong, and cannot cope. Exiled and disgraced, and nearly destroyed, Gabriella struggles to survive on her own in New York. There she seeks healing and escape through her writing again, this time as an adult, and her life as a writer begins. But just when she thinks she is beyond hurt, Gabriella is once again betrayed by someone she trusts. Brought to the edge of despair, physically attacked beyond recognition and belief, haunted by abuse in her present and her past, she nonetheless manages to find hope again, and the courage to face the past. On a pilgrimage destined to bring her face-to-face with those who sought to destroy her in her early life, she finds forgiveness, freedom from guilt, and healing from abuse. When Gabriella faces what was done to her, and why, she herself is free at last. With profound insight, Danielle Steel has created a vivid portrait of an abused child's broken world, and the courage necessary to face it and free herself from the past. A work of daring and compassion, a tale of healing that will shock and touch and move you to your very soul, it exposes the terror of child abuse, and opens the doors on a subject that affects us all. The Long Road Home is more than riveting fiction. It is an inspiration to us all. A work of courage, hope, and love.",Danielle Steel,1999-03-02,Dell,452,Fiction
0671649728,Moving Beyond Words,"\"Gloria Steinem is one of the country's most influential and innovative writers and activists. In Revolution from Within, Marilyn: Norma Jean, and Outrageous Acts and Everyday Rebellions, she created a dialogue with her readers that shapes the way we think about human possibilities. In this newest six-part adventure of essays that \"begin in a personal place, and arrive at a larger point,\" she offers more revolutionary ideas, compassionate insights, and one truly over-the-top fantasy. Three of its six parts appear here for the first time. Three of them have a seed, seedling, or partly grown plant in a previously published article. As Steinem writes in the Preface, \"Each of these six parts is rather like a condensed book....Since there seems to be no genre for this, I've found myself explaining it this way: If you added water to any of these parts, it would become a book.\"\" \"What If Freud Were Phyllis is the ultimate send-up - with footnotes. By gender-reversing Sigmund's world and work, and drawing on new scholarship that shocks, Steinem creates a hilarious and chilling portrait of the most haunting father-figure of them all - and raises questions about what might have been haunting him, and why he is still haunting us.\" \"The Strongest Woman in the World is the story of one woman whose courage in testing her own limits broke the boundaries of gender and gave Steinem insights into the politics of muscle - and into herself.\" \"Sex, Lies and Advertising updates and greatly expands Steinem's famous expose of advertising's stranglehold on women's magazines and its control over much of what we see and read - with a new and urgent call to action.\" \"The Masculinization of Wealth shows us the ways class works in reverse for women in families of inherited wealth, because \"the closer we are to power, the more passive we have to be kept.\" It reshapes our understanding of class, and exposes the other end of the feminization of poverty.\" \"Revaluing Economics demystifies budgets, from our own checkbooks to national and international accounting systems, as statements of values that render invisible most of the world's productive work, especially that done by women - and offers practical ways out.\" \"Doing Sixty is a spirited, provocative, intimate essay written at the approach of Steinem's sixtieth birthday - for her \"beloved age peers\" and \"to help younger readers worry less about early successes or failures\" - as she realizes why women, herself included, become more radical with age.\"--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",Gloria Steinem,1994,"",352,Political Science
0380385880,Shanna,"A pact is sealed in secret behind the foreboding walls of Newgate Prison. In return for a night of unparalleled pleasure, a dashing condemned criminal consents to wed a beautiful heiress, thereby rescuing her with his name from an impending and abhorred arranged union. But in the fading echoes of hollow wedding vows, a solemn promise is broken, as a sensuous free spirit takes flight to a lush Caribbean paradise, abandoning the stranger she married to face the gallows unfulfilled. But Ruark Beauchamp's destiny is now eternally intertwined with that of the tempestuous, intoxicating Shanna. He will be free . . . and he will find her. For no iron ever forged can imprison his resolute passion. And no hangman's noose will deny Ruark the ecstasy that is rightfully his.",Kathleen E. Woodiwiss,1978-08-01,Avon,678,Fiction
034540288X,The Lost World,"\"HARROWING THRILLS . . . FAST-PACED AND ENGAGING.\" --People It is now six years since the secret disaster at Jurassic Park, six years since the extraordinary dream of science and imagination came to a crashing end--the dinosaurs destroyed, the park dismantled, the island indefinitely closed to the public. There are rumors that something has survived. . . . \"ACTION-PACKED.\" --New York Daily News \"FAST AND GRIPPING.\" --The Washington Post Book World \"A VERY SCARY READ.\" --Entertainment Weekly \"AN EDGE-OF-THE-SEAT TALE.\" --St. Petersburg Times",Michael Crichton,1995,"Random House Digital, Inc.",449,Fiction
0060005424,Lirael,"Who is Lirael? Lirael has never felt like a true daughter of the Clayr. Abandoned by her mother, ignorant of her father's identity, Lirael resembles no one else in her large extended family living in the Clayr's Glacier. She doesn't even have the Sight -- the ability to See into the present and possible futures -- that is the very birthright of the Clayr. Nonetheless, it is Lirael in whose hands the fate of the Old Kingdom lies. She must undertake a desperate mission under the growing shadow of an ancient evil -- one that opposes the Royal Family, blocks the Sight of the Clay; and threatens to break the very boundary between Life and Death itself. With only her faithful companion, the Disreputable Dog, to help her, Lirael must find the courage to seek her own hidden destiny. In this sequel to the critically acclaimed Sabriel, Garth Nix draws readers deeper into the magical landscape of the Old Kingdom and weaves a spellbinding tale of discovery, destiny, and danger.",Garth Nix,2002-04-30,HarperTeen,722,Fiction
0064401510,Mrs. Piggle-Wiggle's Magic,"centerMrs. Piggle-Wiggle has a trick up her sleeve centerMrs. Piggle-Wiggle loves everyone, and everyone loves her right back. The children love her because she is lots of fun. Their parents love her because she can cure children of absolutely any bad habit. The treatment are unusual, but they work! Who better than a pig, for instance, to teach a piggy little boy table manners? And what better way to cure the rainy-day \"waddle-I-do's\" than hunt for a pirate treasure in Mrs. Piggle-Wiggle's upside-down house?",Betty MacDonald,1994-06-03,Harper Collins,196,Juvenile Fiction
0140258418,The Beach,"Richard, backpacking around the globe in the great tradition of cheap travel, finds himself bedding down in Khao San Road, Bangkok. But his chance to rest briefly is suddenly and irrevocably destroyed when a perfect stranger called Mister Duck is killed in the room next door. Mister Duck had a secret - now it's Richard's. Armed with a map - and a name of great mystery and legend that possesses a simple majesty: Beach - our protagonist goes in search of a traveller's dream, a place where there are lots of drugs and a tolerant society that works together to maintain a life of inner peace and tranquillity. Only a select few will make it to the blissful seclusion of the Beach (Mister Duck, for one, has died) but in the great tradition of travelling bravado, or sheer stupidity, Richard decides to give it a go . . .",Alex Garland,1997,"",438,Adventure stories
0140433627,"Frankenstein, Or, The Modern Prometheus",A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,Mary Wollstonecraft Shelley,1992,"",332,English fiction
0842329129,Left Behind,Novel about the Apocalypse.,"Tim LaHaye, Jerry B. Jenkins",1995,"Tyndale House Publishers, Inc.",484,Fiction
0451156609,The Tommyknockers,Bobbi Anderson stumbles across a metal object that gave the people powers beyond what ordinary mortals have.,Stephen King,1988,Berkley,754,Fiction
