isbn,title,authors,description,subjects,text,wiki_description
0140244824,Songs in ordinary time,Mary McGarry Morris,,"Fiction, Divorced women, Problem families, Romance, Vermont -- Fiction, Dysfunctional families, Vermont, fiction, Fermoyle, marie (fictitious character), fiction, Fiction, family life, general, Romans, nouvelles, Fiction, general","Songs in ordinary time Mary McGarry Morris Fiction, Divorced women, Problem families, Romance, Vermont -- Fiction, Dysfunctional families, Vermont, fiction, Fermoyle, marie (fictitious character), fiction, Fiction, family life, general, Romans, nouvelles, Fiction, general",
014025448X,At home in Mitford,Jan Karon,,"Fiction, Mitford (N.C. : Imaginary place), Episcopalians, Clergy, Church membership, Christian fiction, City and town life, Domestic fiction, Literature, Timothy Kavanagh (Fictitious character), Fiction, christian, general, Fiction, family life, Mitford (n.c. : imaginary place), fiction, Clergy, fiction, Large type books, Mitford (North Carolina : Imaginary place), Large print books, Fiction, family life, general","At home in Mitford Jan Karon Fiction, Mitford (N.C. : Imaginary place), Episcopalians, Clergy, Church membership, Christian fiction, City and town life, Domestic fiction, Literature, Timothy Kavanagh (Fictitious character), Fiction, christian, general, Fiction, family life, Mitford (n.c. : imaginary place), fiction, Clergy, fiction, Large type books, Mitford (North Carolina : Imaginary place), Large print books, Fiction, family life, general",
0307030504,Bunnies' ABC (Little Golden Books),Garth Williams,,"Alphabet, Juvenile literature, English language","Bunnies' ABC (Little Golden Books) Garth Williams Alphabet, Juvenile literature, English language",
0307125165,My Book of Opposites (A little nugget book),Golden Books,,"Juvenile literature, English language, Synonyms and antonyms","My Book of Opposites (A little nugget book) Golden Books Juvenile literature, English language, Synonyms and antonyms",
0345313860,The Vampire Lestat,Anne Rice,,"nobility, vampire novels, Fiction, Vampires, Romance, Literatura norte-americana, Vampires -- Fiction, horror tales, Fiction, thrillers, general, France, fiction, Lestat (Personaje literario), Novela, Vampiros, Lestat (fictitious character), fiction, Fiction, horror, Vampires, fiction, Italy, fiction, Comics & graphic novels, general, Children's fiction, Horror stories","The Vampire Lestat Anne Rice nobility, vampire novels, Fiction, Vampires, Romance, Literatura norte-americana, Vampires -- Fiction, horror tales, Fiction, thrillers, general, France, fiction, Lestat (Personaje literario), Novela, Vampiros, Lestat (fictitious character), fiction, Fiction, horror, Vampires, fiction, Italy, fiction, Comics & graphic novels, general, Children's fiction, Horror stories","The Vampire Lestat (1985) is a vampire novel by American writer Anne Rice, the second in her Vampire Chronicles, following Interview with the Vampire (1976). The story is told from the point of view of the vampire Lestat de Lioncourt, while Interview is narrated by Louis de Pointe du Lac.
The novel follows Lestat's rise to fame as a 1980's rockstar, his early experiences as a vampire, and his search for meaning and connection in his vampiric existence."
0345361792,A prayer for Owen Meany,John Irving,,"Friendship in fiction, Friendship, Fiction, Vietnam War, 1961-1975, Belief and doubt, Mothers, Death, Male friendship, Predestination, Birthfathers, United States, Religious fiction, Psychological fiction, New Hampshire, Fiction, general, American fiction (fictional works by one author), Vietnam war, 1961-1975, fiction, Friendship, fiction, New hampshire, fiction, Fiction, psychological, American fiction, Croyance et doute, Romans, nouvelles, Amitié masculine, Prédestination, Pères naturels, Roman américain, Englisch, Roman","A prayer for Owen Meany John Irving Friendship in fiction, Friendship, Fiction, Vietnam War, 1961-1975, Belief and doubt, Mothers, Death, Male friendship, Predestination, Birthfathers, United States, Religious fiction, Psychological fiction, New Hampshire, Fiction, general, American fiction (fictional works by one author), Vietnam war, 1961-1975, fiction, Friendship, fiction, New hampshire, fiction, Fiction, psychological, American fiction, Croyance et doute, Romans, nouvelles, Amitié masculine, Prédestination, Pères naturels, Roman américain, Englisch, Roman",
0345380371,Rising sun,Michael Crichton,,"Japanese culture, Yakuza, Los Angeles Police Department, murder, Industries, Police in fiction, Japanese corporations in fiction, Police, Japanese Corporations, Fiction, Business intelligence, Detective and mystery stories, Business intelligence in fiction, Industries in fiction, Police -- California -- Los Angeles -- Fiction, Corporations, Japanese -- California -- Los Angeles -- Fiction, Business intelligence -- Fiction, Los Angeles (Calif.) -- Fiction, California, fiction, Los angeles (calif.), fiction, Fiction, mystery & detective, police procedural, Sociétés japonaises, Romans, nouvelles, Livres en gros caractères, Large print books","Rising sun Michael Crichton Japanese culture, Yakuza, Los Angeles Police Department, murder, Industries, Police in fiction, Japanese corporations in fiction, Police, Japanese Corporations, Fiction, Business intelligence, Detective and mystery stories, Business intelligence in fiction, Industries in fiction, Police -- California -- Los Angeles -- Fiction, Corporations, Japanese -- California -- Los Angeles -- Fiction, Business intelligence -- Fiction, Los Angeles (Calif.) -- Fiction, California, fiction, Los angeles (calif.), fiction, Fiction, mystery & detective, police procedural, Sociétés japonaises, Romans, nouvelles, Livres en gros caractères, Large print books",Rising sun may refer to sunrise.
0373031785,Magic Carpets,Lucy Keane,,"Fiction, general","Magic Carpets Lucy Keane Fiction, general",
0373097832,A Prince Among Men,Mona Van Wieren,,Fiction,A Prince Among Men Mona Van Wieren Fiction,"A Prince Among Men is a British sitcom that ran on BBC1 from 15 September 1997 to 14 June 1998, broadcasting 12 episodes over two series. It starred Chris Barrie as Gary Prince, a former international football star turned entrepreneur. The theme music was by Jamie Marshall."
0373225342,Midnight Caller,Rebecca York,,"Fiction, Romantic Suspense, amnesia, Harlequin Intrigue, 43 Light Street series, Fiction, romance, contemporary, Fiction, romance, general, 43 Light Street (Baltimore, Md. : Imaginary place)","Midnight Caller Rebecca York Fiction, Romantic Suspense, amnesia, Harlequin Intrigue, 43 Light Street series, Fiction, romance, contemporary, Fiction, romance, general, 43 Light Street (Baltimore, Md. : Imaginary place)","Midnight Caller is an American drama television series created by Richard DiLello, which aired on NBC from October 25, 1988, to May 10, 1991. It was one of the first television series to address the dramatic possibilities of the then-growing phenomenon of talk radio."
0373240570,Mom for Hire ,Victoria Pade,,"Fiction, romance, general","Mom for Hire  Victoria Pade Fiction, romance, general",
0373251300,Swept Off Her Feet,Coleen Kimbrough,,Love stories,Swept Off Her Feet Coleen Kimbrough Love stories,
0373482531,Silhouette Christmas Stories 1988,Silhouette,,,Silhouette Christmas Stories 1988 Silhouette,
0373825013,Welcome to Tyler,Nancy Martin,,"Fiction, general, City and town life, Fiction","Welcome to Tyler Nancy Martin Fiction, general, City and town life, Fiction",
0380018179,The Thorn Birds,"Colleen McCullough, Colleen McCullough",,"Fiction, Romance, Clergy, Catholic Church, Catholics, Clergy in fiction, Catholics in fiction, Catholic Church in fiction, Australia, fiction, Man-woman relationships, fiction, American Love stories, Australian fiction, epic fiction, religious fiction, romantic fiction, love stories, Fiction, sagas, Fiction, romance, historical, Catholic church, clergy, fiction, English fiction, Priests, American Romance fiction, Anglais (langue), Lectures et morceaux choisis, Roman américain, Chang pian xiao shuo, Clergy, fiction, Fiction,  Families, Fiction, romance, historical, general"", Readers, Romans, nouvelles, Clergé, Église catholique","The Thorn Birds Colleen McCullough, Colleen McCullough Fiction, Romance, Clergy, Catholic Church, Catholics, Clergy in fiction, Catholics in fiction, Catholic Church in fiction, Australia, fiction, Man-woman relationships, fiction, American Love stories, Australian fiction, epic fiction, religious fiction, romantic fiction, love stories, Fiction, sagas, Fiction, romance, historical, Catholic church, clergy, fiction, English fiction, Priests, American Romance fiction, Anglais (langue), Lectures et morceaux choisis, Roman américain, Chang pian xiao shuo, Clergy, fiction, Fiction,  Families, Fiction, romance, historical, general"", Readers, Romans, nouvelles, Clergé, Église catholique","The Thorn Birds is a 1977 novel by Australian author Colleen McCullough. Set primarily on Drogheda—a fictional sheep station in the Australian Outback named after Drogheda, Ireland—the story focuses on the Cleary family and spans 1915 to 1969. The novel is the best-selling book in Australian history, and has sold over 33 million copies worldwide."
0380698544,Best Friend Insurance,Beatrice Gormley,,"Fiction, Friendship, Cloning, Juvenile fiction, Best friends, Magic, Sales personnel, Children's fiction, Friendship, fiction, Cloning, fiction","Best Friend Insurance Beatrice Gormley Fiction, Friendship, Cloning, Juvenile fiction, Best friends, Magic, Sales personnel, Children's fiction, Friendship, fiction, Cloning, fiction",
0380703866,Touch,Elmore Leonard,,"Fiction, Spiritual healing, Fiction, mystery & detective, general, Detroit (mich.), fiction, Healing","Touch Elmore Leonard Fiction, Spiritual healing, Fiction, mystery & detective, general, Detroit (mich.), fiction, Healing","The somatosensory system, or somatic sensory system  is a subset of the sensory nervous system. The main functions of the somatosensory system are the perception of external stimuli, the perception of internal stimuli, and the regulation of body position and balance (proprioception). It is believed to act as a pathway between the different sensory modalities within the body."
0385265700,The book of Ruth,"Jane Hamilton, Jane Hamilton",,"Fiction, Mothers and daughters, Violence, City and town life, Women, Large type books, Audiobook, Fiction, general, Middle east, fiction","The book of Ruth Jane Hamilton, Jane Hamilton Fiction, Mothers and daughters, Violence, City and town life, Women, Large type books, Audiobook, Fiction, general, Middle east, fiction",
0385492081,Into Thin Air,Jon Krakauer,,"History, Adventure Consultants. Guided Expedition (1996 : Mount Everest), Adventure Consultants Guided Expedition (1996 : Mount Everest), Mountain Madness (Firm) Everest Expedition (1996), Mountaineering expeditions, Open Library Staff Picks, Nature, Mountaineering, Mountaineering accidents, Mountain Madness (Firm), Nonfiction, Biography & Autobiography, Mountain Madness (Firm). Everest Expedition (1996), Adventure Consultants, Mount Everest Expedition (1996), Accidents and injuries, Adventure Consultants. Guided Expedition, Mount Everest Expedition. fast (OCoLC)fst01405877, Accidents, Mountains, Mountain Madness (Firm). Everest Expedition, Expeditions, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Everest, mount (china and nepal), Mount Everest Expedition (1976) fast (OCoLC)fst01405877, Large type books, nyt:expeditions-disasters-and-adventures=2015-08-09, New York Times bestseller, New York Times reviewed, Mount Everest Expedition (1996) http://id.loc.gov/authorities/names/no2005116127, Krakauer, jon, Mountaineering accidents--everest, mount (china and nepal), Mountaineering expeditions--everest, mount (china and nepal), Gv199.44.e85 k725 1998, 796.52/2/092","Into Thin Air Jon Krakauer History, Adventure Consultants. Guided Expedition (1996 : Mount Everest), Adventure Consultants Guided Expedition (1996 : Mount Everest), Mountain Madness (Firm) Everest Expedition (1996), Mountaineering expeditions, Open Library Staff Picks, Nature, Mountaineering, Mountaineering accidents, Mountain Madness (Firm), Nonfiction, Biography & Autobiography, Mountain Madness (Firm). Everest Expedition (1996), Adventure Consultants, Mount Everest Expedition (1996), Accidents and injuries, Adventure Consultants. Guided Expedition, Mount Everest Expedition. fast (OCoLC)fst01405877, Accidents, Mountains, Mountain Madness (Firm). Everest Expedition, Expeditions, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Everest, mount (china and nepal), Mount Everest Expedition (1976) fast (OCoLC)fst01405877, Large type books, nyt:expeditions-disasters-and-adventures=2015-08-09, New York Times bestseller, New York Times reviewed, Mount Everest Expedition (1996) http://id.loc.gov/authorities/names/no2005116127, Krakauer, jon, Mountaineering accidents--everest, mount (china and nepal), Mountaineering expeditions--everest, mount (china and nepal), Gv199.44.e85 k725 1998, 796.52/2/092","Into Thin Air: A Personal Account of the Mt. Everest Disaster is a 1997 bestselling nonfiction book written by Jon Krakauer. It details Krakauer's experience in the 1996 Mount Everest disaster, in which eight climbers were killed and several others were stranded by a storm."
042513699X,Turtle moon,Alice Hoffman,,"Fiction, Suspense fiction, Didactic fiction, Romance, Fiction, general, Florida, fiction, Large type books, English fiction, Runaway teenagers, Mothers and sons, Missing persons, Murder, Investigation, American fiction, Translations into Italian, New York Times reviewed","Turtle moon Alice Hoffman Fiction, Suspense fiction, Didactic fiction, Romance, Fiction, general, Florida, fiction, Large type books, English fiction, Runaway teenagers, Mothers and sons, Missing persons, Murder, Investigation, American fiction, Translations into Italian, New York Times reviewed",
0425147622,The body farm,Patricia Cornwell,,"Fiction, mystery & detective, women sleuths, Scarpetta, kay (fictitious character), fiction, Virginia, fiction, Forensic pathologists, fiction","The body farm Patricia Cornwell Fiction, mystery & detective, women sleuths, Scarpetta, kay (fictitious character), fiction, Virginia, fiction, Forensic pathologists, fiction",
0440206154,Red Dragon,Thomas Harris,,"Novel, psychiatrists, cannibalism, serial killers, offender profiling, FBI, stalking, photographic processing, The Great Red Dragon and the Woman Clothed in Sun, dissociative identity disorder, child abuse, sadistic personality disorder, tabloids, erectile dysfunction, homosexuality, Battle of Shiloh, American Civil War, Criminal profilers, Government investigators, Serial murder investigation, Detective and mystery fiction, Thrillers, Suspense fiction, Mystery fiction, Fiction, Mystery and detective stories, American Detective and mystery stories, American Horror tales, Asesinatos seriales, Detective and mystery stories, American, Ficción, Horror tales, American, Investigadores gubernamentales, Novela de misterio, Serial murders, Thriller, United States. Federal Bureau of Investigation, psychopaths, homicide investigation, Serial murderers, Fiction, horror, Fiction, mystery & detective, general, Large type books, Graham, will (fictitious character), fiction, Fiction, thrillers, general, Lecter, hannibal (fictitious character), fiction, Hannibal Lecter (Fictitious character), Serial murders, fiction, Fiction, thrillers, Enquêteurs de la fonction publique, Romans, nouvelles, Meurtres en série, NOVELAS ESTADOUNIDENSES","Red Dragon Thomas Harris Novel, psychiatrists, cannibalism, serial killers, offender profiling, FBI, stalking, photographic processing, The Great Red Dragon and the Woman Clothed in Sun, dissociative identity disorder, child abuse, sadistic personality disorder, tabloids, erectile dysfunction, homosexuality, Battle of Shiloh, American Civil War, Criminal profilers, Government investigators, Serial murder investigation, Detective and mystery fiction, Thrillers, Suspense fiction, Mystery fiction, Fiction, Mystery and detective stories, American Detective and mystery stories, American Horror tales, Asesinatos seriales, Detective and mystery stories, American, Ficción, Horror tales, American, Investigadores gubernamentales, Novela de misterio, Serial murders, Thriller, United States. Federal Bureau of Investigation, psychopaths, homicide investigation, Serial murderers, Fiction, horror, Fiction, mystery & detective, general, Large type books, Graham, will (fictitious character), fiction, Fiction, thrillers, general, Lecter, hannibal (fictitious character), fiction, Hannibal Lecter (Fictitious character), Serial murders, fiction, Fiction, thrillers, Enquêteurs de la fonction publique, Romans, nouvelles, Meurtres en série, NOVELAS ESTADOUNIDENSES",Red Dragon may refer to:
